name,games played,wins,losses,last_played,ts_elo,ts_mu,ts_sigma
VOLKS,2,1,1,2021-01-29,1558.0993728816497,24.004595105035968,6.837826259685186
WEBSTER,18,7,11,2020-06-11,1340.379858735852,17.799869590803358,4.362402072065292
WESXP44,40,20,20,2022-04-03,1471.916748313777,21.548501393648582,5.397448881763906
WHISKEYPATT,800,438,362,2024-01-31,1733.2846737680375,28.997150367677158,1.3852842865181678
WILL,184,113,71,2023-04-09,1705.8395026567898,28.214998367639158,3.5030652168869416
WIND,62,40,22,2020-05-13,1713.1927261620208,28.424555759284853,3.0429414303656213
WMD CALLMESARGE,1,1,0,2020-03-19,1731.6361777454786,28.950170355934006,7.406580232227309
WMDSANDLAND,101,52,49,2022-07-01,1573.6806022507399,24.44864005795995,3.5026683507701897
X1ALPHA,147,52,95,2020-03-13,1255.28689624026,15.374829843909225,1.9211281292520364
XBONESX,1,0,1,2021-11-28,1486.1113805622133,21.953030115947872,7.586143010622475
YARRICK100,2,1,1,2023-09-24,1586.4909876845131,24.813719530325756,7.107816496492846
YODOODLES,3,2,1,2021-06-09,1465.080389589354,21.353673982020844,6.740013059745851
YUNGOLOF,145,111,34,2019-06-08,1950.30634742648,35.18198832753163,1.668448246687029
ZOSTRUM,153,86,67,2024-01-25,1806.849480291493,31.09365252907737,3.8922870453241414
[DB] NUTZ,36,21,15,2019-04-30,1751.7827119159651,29.524320611052012,3.1479417897806736
[HBM] RED STORM,233,114,119,2024-01-27,1449.8728030310351,20.920277367580887,1.6911301235705107
[TFB] KANYRED,1,0,1,2020-03-03,1554.7851807543532,23.910144901378356,7.97848849555046
